iter	Passed	Remaining
0	2	2516
1	5	2552
2	7	2618
3	10	2712
4	13	2701
5	16	2787
6	20	2864
7	23	2860
8	25	2857
9	28	2841
10	31	2849
11	35	2881
12	37	2878
13	40	2858
14	43	2849
15	46	2838
16	49	2853
17	52	2859
18	55	2849
19	58	2850
20	61	2848
21	64	2856
22	67	2860
23	69	2830
24	72	2836
25	75	2829
26	78	2812
27	81	2820
28	84	2840
29	87	2844
30	90	2840
31	93	2837
32	97	2844
33	99	2838
34	102	2828
35	105	2827
36	108	2819
37	111	2821
38	114	2822
39	117	2814
40	120	2807
41	122	2799
42	125	2796
43	128	2801
44	132	2804
45	135	2801
46	137	2791
47	140	2782
48	142	2768
49	145	2758
50	147	2740
51	149	2721
52	151	2704
53	153	2686
54	155	2668
55	157	2653
56	160	2649
57	162	2636
58	164	2619
59	166	2606
60	168	2593
61	170	2579
62	172	2564
63	174	2559
64	177	2557
65	180	2554
66	182	2542
67	184	2529
68	186	2516
69	188	2505
70	190	2496
71	193	2487
72	195	2476
73	196	2464
74	199	2455
75	201	2445
76	203	2434
77	205	2425
78	207	2423
79	210	2421
80	212	2412
81	214	2403
82	216	2393
83	218	2384
84	220	2375
85	223	2372
86	225	2368
87	227	2360
88	229	2352
89	231	2343
90	233	2335
91	235	2326
92	237	2320
93	240	2318
94	243	2316
95	245	2307
96	247	2299
97	248	2291
98	250	2284
99	252	2276
100	255	2274
101	257	2268
102	259	2260
103	261	2253
104	263	2246
105	265	2239
106	267	2232
107	269	2228
108	272	2230
109	275	2225
110	277	2219
111	279	2213
112	281	2207
113	283	2200
114	285	2196
115	288	2194
116	290	2194
117	292	2189
118	294	2183
119	296	2177
120	298	2170
121	300	2164
122	303	2163
123	305	2156
124	307	2150
125	309	2144
126	311	2138
127	312	2131
128	314	2126
129	316	2121
130	319	2119
131	321	2114
132	323	2108
133	325	2102
134	327	2097
135	329	2091
136	331	2086
137	333	2084
138	335	2077
139	337	2072
140	339	2067
141	341	2062
142	343	2056
143	345	2051
144	347	2046
145	349	2047
146	352	2043
147	354	2038
148	356	2033
149	358	2028
150	360	2024
151	361	2018
152	363	2014
153	366	2013
154	368	2009
155	370	2005
156	372	2000
157	374	1995
158	376	1991
159	378	1986
160	380	1983
161	383	1983
162	386	1982
163	388	1978
164	390	1974
165	392	1969
166	393	1964
167	395	1959
168	398	1957
169	400	1954
170	402	1949
171	404	1945
172	405	1940
173	407	1936
174	409	1931
175	411	1927
176	414	1927
177	416	1923
178	418	1919
179	420	1915
180	422	1910
181	424	1906
182	426	1902
183	428	1899
184	430	1898
185	432	1894
186	434	1890
187	436	1886
188	438	1881
189	440	1878
190	442	1873
191	444	1872
192	447	1871
193	449	1868
194	451	1864
195	453	1860
196	455	1856
197	457	1852
198	459	1849
199	462	1848
200	464	1845
201	466	1841
202	468	1837
203	470	1833
204	471	1830
205	473	1826
206	476	1823
207	478	1820
208	480	1817
209	482	1813
210	483	1809
211	485	1806
212	487	1802
213	489	1799
214	492	1796
215	494	1795
216	497	1795
217	499	1792
218	501	1788
219	503	1785
220	505	1781
221	507	1778
222	510	1777
223	512	1773
224	513	1770
225	515	1766
226	517	1763
227	519	1759
228	521	1756
229	524	1754
230	526	1752
231	528	1749
232	530	1745
233	532	1742
234	534	1738
235	536	1735
236	538	1732
237	540	1731
238	542	1726
