iter	Passed	Remaining
0	6	6422
1	12	6375
2	17	5688
3	21	5249
4	28	5656
5	33	5596
6	38	5481
7	45	5647
8	50	5544
9	56	5552
10	61	5520
11	66	5453
12	71	5424
13	77	5436
14	81	5345
15	86	5298
16	92	5330
17	96	5291
18	101	5256
19	107	5288
20	112	5258
21	117	5203
22	123	5233
23	126	5142
24	130	5075
25	135	5070
26	139	5026
27	142	4960
28	146	4904
29	150	4878
30	154	4832
31	157	4767
32	160	4701
33	163	4644
34	167	4628
35	170	4573
36	173	4520
37	176	4473
38	179	4429
39	184	4430
40	187	4384
41	190	4356
42	194	4326
43	198	4311
44	202	4295
45	205	4262
46	208	4232
47	211	4195
48	216	4208
49	219	4174
50	222	4146
51	225	4115
52	228	4090
53	233	4087
54	236	4060
55	238	4027
56	242	4008
57	246	4003
58	249	3985
59	252	3959
60	255	3932
61	257	3902
62	261	3886
63	265	3877
64	268	3857
65	270	3832
66	273	3808
67	276	3787
68	280	3788
69	283	3772
70	287	3755
71	289	3736
72	295	3749
73	298	3740
74	302	3730
75	305	3711
76	309	3714
77	313	3704
78	315	3683
79	318	3664
80	321	3647
81	325	3648
82	329	3636
83	332	3621
84	335	3608
85	337	3591
86	341	3586
87	344	3571
88	347	3556
89	350	3540
90	352	3524
91	357	3523
92	360	3515
93	363	3501
94	366	3488
95	368	3473
96	371	3457
97	375	3458
98	378	3446
99	381	3431
100	384	3419
101	387	3408
102	391	3409
103	394	3397
104	397	3384
105	399	3372
106	402	3358
107	407	3363
108	410	3359
109	414	3353
110	417	3345
111	422	3347
112	425	3339
113	428	3329
114	431	3320
115	434	3309
116	439	3314
117	442	3305
118	445	3295
119	447	3282
120	450	3273
121	455	3276
122	458	3267
123	461	3257
124	463	3247
125	467	3240
126	471	3244
127	475	3241
128	478	3230
129	480	3218
130	484	3215
131	489	3216
132	491	3206
133	494	3196
134	497	3186
135	500	3181
136	505	3183
137	508	3176
138	510	3161
139	513	3151
140	517	3153
141	520	3145
142	523	3137
143	526	3127
144	529	3120
145	533	3119
146	536	3113
147	539	3105
148	543	3101
149	546	3097
150	551	3100
151	554	3095
152	557	3085
153	560	3081
154	565	3082
155	568	3075
156	571	3067
157	574	3061
158	577	3055
159	582	3055
160	584	3047
161	587	3038
162	590	3032
163	593	3025
164	597	3025
165	601	3020
166	603	3011
167	606	3004
168	609	2996
169	614	2999
170	616	2990
171	620	2984
172	622	2976
173	625	2969
174	630	2971
175	633	2965
176	635	2955
177	638	2947
178	640	2939
179	645	2940
180	647	2931
181	650	2922
182	653	2917
183	658	2921
184	662	2917
185	665	2911
186	667	2902
187	670	2894
188	673	2887
189	677	2888
190	679	2879
191	682	2871
192	685	2865
193	687	2856
194	691	2855
195	695	2851
196	697	2844
197	700	2838
198	703	2832
199	708	2832
200	711	2828
201	714	2821
202	717	2815
203	720	2809
204	724	2811
205	727	2804
206	730	2797
207	732	2790
208	735	2784
209	740	2784
210	743	2779
211	745	2772
212	748	2767
213	752	2762
214	756	2761
215	759	2755
216	761	2749
217	765	2744
218	767	2737
219	772	2737
220	775	2733
221	778	2728
222	781	2722
223	784	2717
224	789	2718
225	791	2711
226	794	2705
227	797	2699
228	799	2692
229	805	2695
230	808	2692
231	811	2685
232	813	2679
233	817	2677
234	822	2677
235	825	2671
236	828	2666
237	830	2660
238	834	2657
239	839	2657
240	842	2652
241	844	2646
242	848	2642
243	852	2641
244	856	2638
245	858	2632
246	861	2627
247	864	2622
248	868	2620
249	871	2615
250	875	2611
251	877	2605
252	881	2604
